,0,1
1799,followed,295
1800,leafs,295
1801,doctrine,294
1802,movement,294
1803,carried,294
1804,carl,294
1805,uupcb,294
1806,replace,293
1807,broken,293
1808,minnesota,293
1809,association,292
1810,usual,292
1811,mistake,292
1812,suggested,292
1813,normally,292
1814,cheaper,292
1815,cache,292
1816,huge,291
1817,interpretation,291
1818,fault,291
1819,osrhe,291
1820,capable,291
1821,calpoly,291
1822,moved,291
1823,plain,291
1824,staff,291
1825,regard,290
1826,arbor,290
1827,authorities,290
1828,link,290
1829,nick,290
1830,encrypted,290
1831,slightly,289
1832,quoted,289
1833,correctly,289
1834,missouri,289
1835,religions,288
1836,noose,288
1837,statistics,288
1838,direction,288
1839,survivors,288
1840,relationship,288
1841,hasn,288
1842,maynard,288
1843,weren,287
1844,southern,287
1845,quadra,287
1846,expansion,287
1847,honda,287
1848,liberty,286
1849,terminal,286
1850,violence,286
1851,documents,286
1852,connect,286
1853,session,286
1854,assault,286
1855,montana,286
1856,edge,286
1857,button,286
1858,refer,285
1859,strange,285
1860,parallel,285
1861,factor,285
1862,damn,285
1863,develop,285
1864,anthony,285
1865,minute,285
1866,patrick,285
1867,saved,285
1868,pointed,284
1869,penalty,284
1870,vnews,284
1871,replaced,284
1872,eitech,284
1873,shelley,284
1874,winning,284
1875,curious,283
1876,warwick,283
1877,dark,283
1878,starts,283
1879,conditions,283
1880,uicvm,283
1881,rwing,283
1882,lunar,283
1883,letters,282
1884,associated,282
1885,governments,282
1886,organizations,281
1887,relevant,281
1888,meeting,281
1889,tells,281
1890,yugoslavia,281
1891,imho,281
1892,homosexuals,281
1893,houston,281
1894,packages,281
1895,content,280
1896,tradition,280
1897,virtual,280
1898,kelvin,280
1899,showing,279
1900,feeling,279
1901,scale,279
1902,packard,279
1903,lance,279
1904,success,278
1905,compuserve,278
1906,dollars,278
1907,drawing,278
1908,adams,278
1909,uchinews,278
1910,fuel,278
1911,remain,277
1912,wave,277
1913,readers,277
1914,brand,277
1915,irvine,277
1916,mksol,277
1917,temperature,277
1918,rtsg,277
1919,villages,277
1920,excuse,276
1921,felt,276
1922,hardly,276
1923,measure,276
1924,legitimate,276
1925,students,276
1926,track,276
1927,wustl,276
1928,palestinian,276
1929,lists,275
1930,frequently,275
1931,lock,275
1932,deaths,275
1933,feature,275
1934,lies,275
1935,ancient,274
1936,ignore,274
1937,canadian,274
1938,location,274
1939,london,273
1940,before,273
1941,nations,273
1942,hurt,273
1943,extremely,273
1944,threat,273
1945,canon,273
1946,fixed,272
1947,clark,272
1948,morgan,272
1949,hydra,272
1950,sales,272
1951,stories,271
1952,presented,271
1953,sides,271
1954,ottawa,271
1955,mailer,271
1956,cheers,271
1957,raised,271
1958,reaction,271
1959,every,271
1960,cops,271
1961,louisville,271
1962,chemistry,270
1963,abuse,270
1964,select,270
1965,organpipe,270
1966,surely,269
1967,responses,269
1968,geraldo,269
1969,structure,269
1970,recommend,269
1971,conflict,269
1972,jupiter,269
1973,jonathan,269
1974,hour,268
1975,funny,268
1976,processor,268
1977,deep,268
1978,bytes,268
1979,urartu,268
1980,gods,267
1981,philosophy,267
1982,about,267
1983,guilty,267
1984,council,267
1985,prior,267
1986,iran,267
1987,holes,267
1988,wiretap,267
1989,occupied,267
1990,playoffs,267
1991,translation,266
1992,punishment,266
1993,none,266
1994,northern,266
1995,initial,266
1996,rain,266
1997,leader,266
1998,judgement,266
1999,tear,266
2000,smaller,266
2001,england,265
2002,finding,265
2003,persons,265
2004,shooting,265
2005,forced,265
2006,marriage,265
2007,differences,265
2008,academic,265
2009,shareware,265
2010,playoff,265
2011,weak,264
2012,gain,264
2013,noted,264
2014,percentage,264
2015,zero,264
2016,twice,264
2017,mars,264
2018,mcrcim,264
2019,greece,264
2020,benefit,263
2021,named,263
2022,opportunity,263
2023,zone,263
2024,hewlett,263
2025,leading,263
2026,enter,262
2027,hearing,262
2028,walker,262
2029,tests,262
2030,expo,262
2031,foundation,261
2032,demand,261
2033,core,261
2034,discovered,261
2035,powerful,261
2036,amdahl,261
2037,engineer,261
2038,channel,261
2039,opposed,261
2040,sweden,261
2041,diamond,261
2042,rear,261
2043,attorney,261
2044,sets,260
2045,distance,260
2046,edward,260
2047,stopped,260
2048,sports,260
2049,nothing,260
2050,officials,260
2051,listed,259
2052,each,259
2053,scheme,259
2054,dean,259
2055,civilians,259
2056,plans,259
2057,motorcycle,259
2058,explanation,258
2059,capital,258
2060,draft,258
2061,reduce,258
2062,phoenix,258
2063,labs,258
2064,viking,258
2065,super,258
2066,ucla,258
2067,village,258
2068,openwindows,258
2069,doctors,257
2070,consistent,257
2071,seconds,257
2072,stars,257
2073,shoot,257
2074,turns,257
2075,hawaii,257
2076,orion,257
2077,acceptable,256
2078,crash,256
2079,pull,256
2080,paying,256
2081,walk,256
2082,never,256
2083,palestinians,256
2084,login,256
2085,turbo,256
2086,worship,255
2087,join,255
2088,surprised,255
2089,finland,255
2090,situations,255
2091,configuration,255
2092,odin,254
2093,established,254
2094,announcement,254
2095,happening,254
2096,arts,254
2097,barry,254
2098,essentially,253
2099,primary,253
2100,items,253
2101,covered,253
2102,assumption,252
2103,packet,252
2104,discussed,252
2105,centre,252
2106,lewis,252
2107,caps,252
2108,japan,252
2109,backup,252
2110,technologies,252
2111,followers,251
2112,perfectly,251
2113,reliable,251
2114,sending,251
2115,dsinc,251
2116,string,251
2117,cronkite,251
2118,contrib,251
2119,journal,250
2120,observations,250
2121,hsdndev,250
2122,afford,250
2123,loaded,250
2124,database,250
2125,eisa,250
2126,ethernet,250
2127,claiming,249
2128,holding,249
2129,nazis,249
2130,diet,249
2131,baker,249
2132,amateur,249
2133,wilson,249
2134,hitting,249
2135,utilities,249
2136,concerning,248
2137,anymore,248
2138,standing,248
2139,santa,247
2140,raise,247
2141,ensure,247
2142,pyramid,247
2143,cbnewsj,247
2144,tanks,247
2145,anderson,247
2146,registration,247
2147,pens,247
2148,decent,246
2149,ultb,246
2150,wisdom,246
2151,aaron,246
2152,stanley,246
2153,stream,246
2154,msstate,246
2155,christopher,246
2156,centris,246
2157,royalroads,246
2158,fail,245
2159,manner,245
2160,reasoning,245
2161,utility,245
2162,sleep,245
2163,sunic,245
2164,tiff,245
2165,uvic,245
2166,xview,245
2167,headlines,245
2168,philadelphia,244
2169,caught,244
2170,chemical,244
2171,sony,244
2172,budget,244
2173,centerline,243
2174,cool,243
2175,japanese,243
2176,lake,243
2177,protected,243
2178,kinds,243
2179,kyle,243
2180,menu,243
2181,addresses,242
2182,learned,242
2183,providing,242
2184,regardless,242
2185,sitting,242
2186,boxes,242
2187,carrying,242
2188,jhunix,242
2189,clients,242
2190,annual,242
2191,blues,242
2192,originally,241
2193,forever,241
2194,director,241
2195,occur,241
2196,blaze,241
2197,pagan,241
2198,burning,241
2199,uvaarpa,241
2200,score,241
2201,ulysses,241
2202,colour,241
2203,discussions,240
2204,placed,240
2205,still,240
2206,offered,240
2207,printing,240
2208,heads,240
2209,vision,240
2210,thor,240
2211,winnipeg,240
2212,kings,239
2213,shift,239
2214,requirements,239
2215,checked,239
2216,barr,239
2217,feds,239
2218,ucdavis,239
2219,cactus,239
2220,france,238
2221,conversion,238
2222,relatively,238
2223,ualberta,238
2224,floor,238
2225,satan,237
2226,produced,237
2227,visible,237
2228,secretary,237
2229,hudson,237
2230,modified,236
2231,baltimore,236
2232,aside,236
2233,concern,236
2234,replies,236
2235,transmission,236
2236,malgudi,236
2237,region,236
2238,jerusalem,236
2239,probe,236
2240,ports,236
2241,fired,235
2242,plug,235
2243,strongly,235
2244,logical,235
2245,enjoy,235
2246,constellation,235
2247,advocacy,235
2248,galaxy,235
2249,widgets,235
2250,edition,234
2251,unknown,234
2252,origin,234
2253,animals,234
2254,fields,234
2255,take,234
2256,sufficient,234
2257,thinks,234
2258,simon,234
2259,contrary,234
2260,cities,234
2261,wood,234
2262,depending,234
2263,organized,234
2264,ists,234
2265,announced,234
2266,republic,234
2267,bruins,234
2268,tested,233
2269,pray,233
2270,quotes,233
2271,wesleyan,233
2272,spring,233
2273,carson,233
2274,msus,233
2275,bikes,233
2276,talks,232
2277,senate,232
2278,extermination,232
2279,credit,232
2280,distributed,232
2281,burned,232
2282,detector,232
2283,jets,232
2284,usage,231
2285,driven,231
2286,pasadena,231
2287,overall,231
2288,vnet,231
2289,violent,231
2290,name,231
2291,failure,231
2292,exodus,231
2293,latech,231
2294,instruments,231
2295,gerald,231
2296,push,230
2297,matters,230
2298,lawrence,230
2299,gamma,230
2300,russell,230
2301,kingdom,229
2302,attempts,229
2303,experiences,229
2304,jehovah,229
2305,apart,229
2306,comparison,229
2307,maryland,229
2308,solutions,229
2309,ticket,229
2310,devils,229
2311,lights,229
2312,ordered,228
2313,extended,228
2314,quack,228
2315,split,228
2316,production,228
2317,edmonton,228
2318,sternlight,228
2319,such,227
2320,sgigate,227
2321,victims,227
2322,focus,227
2323,decisions,227
2324,paragraph,227
2325,hill,227
2326,ebay,227
2327,echo,227
2328,newsflash,227
2329,palestine,227
2330,equivalent,226
2331,match,226
2332,schools,226
2333,luke,226
2334,dealing,226
2335,passes,226
2336,degrees,226
2337,titan,226
2338,honest,226
2339,agreement,226
2340,cellar,226
2341,uoregon,226
2342,calgary,226
2343,israelis,226
2344,scientists,225
2345,removed,225
2346,patient,225
2347,someone,225
2348,hitler,225
2349,motion,225
2350,familiar,225
2351,thousand,225
2352,commands,225
2353,investigation,225
2354,boot,225
2355,shape,225
2356,swap,225
2357,clarinet,225
2358,installation,225
2359,ucalgary,225
2360,careful,224
2361,bother,224
2362,suicide,224
2363,reno,224
2364,candida,224
2365,containing,223
2366,maintain,223
2367,gravity,223
2368,lerc,223
2369,career,223
2370,byte,223
2371,adapter,223
2372,crimes,222
2373,without,222
2374,besides,222
2375,dare,222
2376,challenge,222
2377,stat,222
2378,during,222
2379,border,222
2380,wind,222
2381,vela,222
2382,ultra,222
2383,dartvax,222
2384,desktop,222
2385,dennis,222
2386,african,221
2387,contain,221
2388,testament,221
2389,proven,221
2390,lets,221
2391,murray,221
2392,cooking,221
2393,libraries,221
2394,spread,220
2395,assertion,220
2396,stage,220
2397,circumstances,220
2398,shit,220
2399,french,220
2400,jerry,220
2401,units,220
2402,agent,220
2403,hamburg,220
2404,testing,220
2405,figures,220
2406,destroyed,220
2407,oasys,220
2408,facility,220
2409,xlib,220
2410,rape,219
2411,wheel,219
2412,predictions,219
2413,servers,219
2414,chuck,219
2415,storage,219
2416,pitching,219
2417,pitcher,219
2418,prime,218
2419,prepared,218
2420,funds,218
2421,accident,218
2422,planning,218
2423,suffering,218
2424,salt,218
2425,davidian,218
2426,propulsion,218
2427,newshub,218
2428,terrorism,217
2429,variety,217
2430,toolkit,217
2431,philips,216
2432,impact,216
2433,increased,216
2434,literature,216
2435,progress,216
2436,mormon,216
2437,seems,216
2438,holland,216
2439,repeat,216
2440,serbs,216
2441,thunder,216
2442,lockheed,216
2443,neutral,215
2444,spending,215
2445,arromdee,215
2446,modes,215
2447,sharks,215
2448,carefully,215
2449,slip,215
2450,part,215
2451,remains,215
2452,highest,215
2453,burn,215
2454,karl,215
2455,resistance,215
2456,wise,215
2457,phones,215
2458,rational,214
2459,birth,214
2460,shared,214
2461,fundamental,214
2462,mouth,214
2463,charlie,214
2464,target,214
2465,suggestion,214
2466,accuracy,214
2467,jones,214
2468,shut,214
2469,paint,214
2470,kenneth,214
2471,panel,214
2472,mercury,214
2473,portable,214
2474,silly,213
2475,irrelevant,213
2476,flyers,213
2477,experiment,213
2478,ottoman,213
2479,item,213
2480,unlike,213
2481,vitamin,213
2482,dresden,213
2483,dictionary,212
2484,eastern,212
2485,justify,212
2486,verse,212
2487,continued,212
2488,stolen,212
2489,biggest,212
2490,forms,212
2491,knock,212
2492,tommy,212
2493,experts,212
2494,baby,212
2495,july,212
2496,frequency,212
2497,buffer,212
2498,voltage,212
2499,gtoal,212
2500,signed,211
2501,presence,211
2502,wisconsin,211
2503,survey,211
2504,ignorance,211
2505,previously,211
2506,hundreds,211
2507,quantum,211
2508,appeared,211
2509,back,211
2510,networks,211
2511,motor,211
2512,officer,211
2513,phill,211
2514,allowing,210
2515,netcomsv,210
2516,reader,210
2517,microsystems,210
2518,supposedly,209
2519,closer,209
2520,explained,209
2521,graham,209
2522,eagle,209
2523,instructions,209
2524,citizen,209
2525,subjective,209
2526,learning,209
2527,gallant,209
2528,orst,209
2529,imaging,209
2530,settings,209
2531,connector,209
2532,flat,208
2533,mechanism,208
2534,slave,208
2535,gaza,208
2536,burns,208
2537,taylor,208
2538,leaving,207
2539,unable,207
2540,agreed,207
2541,funding,207
2542,efforts,207
2543,orthodox,207
2544,elements,207
2545,relative,207
2546,maximum,207
2547,stone,207
2548,professional,207
2549,mojo,207
2550,gates,207
2551,lonestar,207
2552,yeast,207
2553,defensive,207
2554,positions,206
2555,believes,206
2556,implementation,206
2557,millions,206
2558,occurs,206
2559,ethnic,206
2560,wild,206
2561,coach,206
2562,friday,206
2563,vesa,206
2564,carter,206
2565,clem,206
2566,incident,205
2567,automatically,205
2568,applies,205
2569,cunews,205
2570,stereo,205
2571,chain,205
2572,sdsu,205
2573,williams,205
2574,qualcomm,205
2575,lebanon,205
2576,plenty,204
2577,newsgate,204
2578,generate,204
2579,collection,204
2580,pope,204
2581,apartment,204
2582,chosen,204
2583,puck,204
2584,massachusetts,204
2585,hitter,204
2586,controlled,203
2587,foot,203
2588,understood,203
2589,bnrgate,203
2590,materials,203
2591,wars,203
2592,taught,203
2593,everyone,203
2594,returned,203
2595,alexia,203
2596,compaq,203
2597,obtained,203
2598,museum,203
2599,govt,203
2600,chapter,203
2601,displays,203
2602,menudo,203
2603,engines,203
2604,much,202
2605,importance,202
2606,favor,202
2607,convince,202
2608,gene,202
2609,purchased,202
2610,sentence,202
2611,asuvax,202
2612,granted,202
2613,perform,202
2614,empire,202
2615,patch,202
2616,massacre,202
2617,entries,202
2618,istanbul,202
2619,december,201
2620,referring,201
2621,successful,201
2622,unlikely,201
2623,sometimes,201
2624,helped,201
2625,mimsy,201
2626,lying,201
2627,superior,201
2628,handling,201
2629,char,201
2630,band,201
2631,ring,201
2632,beta,201
2633,wins,201
2634,ozonehole,201
2635,plastic,200
2636,index,200
2637,assumed,200
2638,morals,200
2639,cycle,200
2640,procedure,200
2641,touch,200
2642,relations,200
2643,greeks,200
2644,techniques,200
2645,todd,200
2646,seat,200
2647,primarily,199
2648,aspects,199
2649,surprise,199
2650,stands,199
2651,checking,199
2652,revelation,199
2653,interests,199
2654,stuck,199
2655,gumby,199
2656,helmet,199
2657,fifth,199
2658,believing,198
2659,principle,198
2660,perspective,198
2661,pakistan,198
2662,discrimination,198
2663,helpful,198
2664,battle,198
2665,picked,198
2666,enet,198
2667,liberal,198
2668,lady,198
2669,extension,198
2670,hopefully,198
2671,wetware,198
2672,penguins,198
2673,divine,197
2674,immoral,197
2675,imply,197
2676,allan,197
2677,chief,197
2678,blind,197
2679,fourth,197
2680,confused,197
2681,camera,197
2682,oregon,197
2683,shop,197
2684,ingres,197
2685,represents,196
2686,records,196
2687,february,196
2688,signature,196
2689,plane,196
2690,served,196
2691,acid,196
2692,teach,196
2693,managed,196
2694,august,196
2695,requests,196
2696,kuwait,196
2697,routines,196
2698,neighbors,196
2699,pitch,196
2700,tough,196
2701,talked,196
2702,tonight,196
2703,shaft,196
2704,convinced,195
2705,bigger,195
2706,exchange,195
2707,fellow,195
2708,duty,195
2709,glad,195
2710,factors,195
2711,uiowa,195
2712,messiah,195
2713,capability,195
2714,veal,195
2715,svga,195
2716,stsci,195
2717,converter,195
2718,pacbell,195
2719,alleg,195
2720,scored,195
2721,indicate,194
2722,reached,194
2723,improve,194
2724,universal,194
2725,roman,194
2726,viewer,194
2727,sean,194
2728,cubs,194
2729,hpscit,194
2730,protocol,194
2731,harry,194
2732,referred,193
2733,metal,193
2734,harm,193
2735,ends,193
2736,notion,193
2737,infection,193
2738,reed,193
2739,jersey,193
2740,movie,193
2741,brett,193
2742,photo,193
2743,global,193
2744,lucky,193
2745,athens,193
2746,archives,192
2747,equally,192
2748,observed,192
2749,determined,192
2750,visit,192
2751,husc,192
2752,workstation,192
2753,neighbor,192
2754,janet,192
2755,propaganda,192
2756,replacement,192
2757,reduced,192
2758,nelson,192
2759,mirror,192
2760,raid,192
2761,catch,192
2762,slot,192
2763,bontchev,192
2764,gospel,191
2765,sequence,191
2766,effectively,191
2767,deny,191
2768,francis,191
2769,cash,191
2770,treated,191
2771,terrorist,191
2772,policies,191
2773,cursor,191
2774,eskimo,191
2775,newsletter,190
2776,answered,190
2777,practical,190
2778,represent,190
2779,albert,190
2780,intelligent,190
2781,gear,190
2782,dogs,190
2783,stock,190
2784,multimedia,190
2785,manuals,190
2786,baalke,190
2787,hulman,190
2788,scoring,190
2789,comics,190
2790,union,189
2791,danger,189
2792,destruction,189
2793,principles,189
2794,indeed,189
2795,symptoms,189
2796,recommended,189
2797,quebec,189
2798,orders,189
2799,stored,189
2800,wiring,189
2801,opening,189
2802,behanna,189
2803,ripem,189
2804,dyer,189
2805,alien,188
2806,accounts,188
2807,depth,188
2808,offensive,188
2809,drink,188
2810,adding,188
2811,components,188
2812,crazy,188
2813,critical,188
2814,indian,188
2815,register,188
2816,specs,188
2817,marketplace,188
2818,stafford,188
2819,churches,187
2820,darkside,187
2821,atmosphere,187
2822,proceeded,187
2823,exercise,187
2824,slower,187
2825,copyright,187
2826,lebanese,187
2827,characters,186
2828,widely,186
2829,destroy,186
2830,scientist,186
2831,verses,186
2832,fails,186
2833,jump,186
2834,mathematics,186
2835,uwec,186
2836,resurrection,186
2837,sins,186
2838,hits,186
2839,ship,186
2840,platform,186
2841,shearson,186
2842,tires,186
2843,seek,185
2844,gonna,185
2845,senior,185
2846,planned,185
2847,muenchen,185
2848,tapes,185
2849,eddie,185
2850,jackson,185
2851,giants,185
2852,strnlght,185
2853,conversation,184
2854,corner,184
2855,being,184
2856,numerous,184
2857,impression,184
2858,reverse,184
2859,modems,184
2860,node,184
2861,cbfsb,184
2862,kaldis,184
2863,gold,183
2864,mainly,183
2865,introduction,183
2866,spiritual,183
2867,batman,183
2868,describes,183
2869,intent,183
2870,headwall,183
2871,treat,183
2872,bomb,183
2873,grand,183
2874,owned,183
2875,opened,183
2876,significantly,183
2877,romans,183
2878,saturday,183
2879,beckman,183
2880,cellular,183
2881,clinical,183
2882,passage,182
2883,performed,182
2884,negative,182
2885,reflect,182
2886,supporting,182
2887,wear,182
2888,chances,182
2889,phrase,182
2890,minimum,182
2891,existed,182
2892,affect,182
2893,bosnian,182
2894,algorithms,182
2895,speeds,182
2896,julian,182
2897,visualization,182
2898,manufacturers,182
2899,islanders,182
2900,karabakh,182
2901,psychology,181
2902,wonderful,181
2903,miss,181
2904,favorite,181
2905,okcforum,181
2906,suit,181
2907,printed,181
2908,waterloo,181
2909,turning,181
2910,drag,181
2911,bonds,181
2912,uhura,181
2913,amherst,180
2914,authors,180
2915,traditional,180
2916,unto,180
2917,dear,180
2918,quit,180
2919,forth,180
2920,dealers,180
2921,fund,180
2922,teaching,179
2923,formed,179
2924,assembly,179
2925,useless,179
2926,rushdie,179
2927,cultural,179
2928,interactive,179
2929,screw,179
2930,bull,179
2931,schedule,179
2932,thanx,179
2933,accelerator,179
2934,factory,179
2935,ranch,179
2936,opposite,178
2937,warren,178
2938,printers,178
2939,detailed,177
2940,prayer,177
2941,keeps,177
2942,tomorrow,177
2943,generated,177
2944,loop,177
2945,finger,177
2946,finish,177
2947,beach,177
2948,eating,177
2949,lang,177
2950,offense,177
2951,micro,177
2952,iowa,177
2953,selected,177
2954,missions,177
2955,gerry,177
2956,firearm,177
2957,chose,176
2958,minds,176
2959,constant,176
2960,married,176
2961,permission,176
2962,cook,176
2963,crowd,176
2964,vehicles,176
2965,hydro,176
2966,azerbaijani,176
2967,dick,175
2968,extreme,175
2969,nonsense,175
2970,beings,175
2971,jaeger,175
2972,task,175
2973,engin,175
2974,contents,175
2975,sail,175
2976,fool,175
2977,joke,175
2978,economy,175
2979,plays,175
2980,surrender,175
2981,utarlg,175
2982,spam,175
2983,marketing,175
2984,handgun,175
2985,bears,174
2986,silicon,174
2987,classic,174
2988,blow,174
2989,timothy,174
2990,amazing,174
2991,pure,174
2992,strip,174
2993,controls,174
2994,carolina,174
2995,truck,174
2996,pete,174
2997,ariel,174
2998,spdcc,174
